k,seed,split,auroc,f1,accuracy,precision,recall,loss
2,7,ood,0.758664,0.654163,0.486767,0.493276,0.970800,0.681233
2,8,test,0.637834,0.622800,0.593496,0.568043,0.689239,0.673143
2,8,ood,0.813156,0.849573,0.827400,0.752858,0.974800,0.515959
2,9,test,0.657806,0.593386,0.605691,0.595884,0.590909,0.657329
2,9,ood,0.486630,0.640990,0.492300,0.495789,0.906467,0.788465
3,1,test,0.700559,0.627730,0.633816,0.644878,0.611471,0.627750
3,1,ood,0.485721,0.666667,0.500000,0.500000,1.000000,1.196458
3,10,test,0.685954,0.654448,0.638954,0.633218,0.677151,0.635104
3,10,ood,0.561876,0.666948,0.500633,0.500317,1.000000,1.051210
3,11,test,0.635560,0.632974,0.586175,0.573143,0.706753,0.661933
3,11,ood,0.710745,0.654508,0.501767,0.500938,0.943867,0.661630
3,12,test,0.689133,0.634978,0.619804,0.616188,0.654949,0.639890
3,12,ood,0.783445,0.666667,0.500000,0.500000,1.000000,2.167353
3,13,test,0.666778,0.656527,0.620271,0.604199,0.718779,0.647886
3,13,ood,0.412740,0.590607,0.492367,0.494842,0.732333,0.731679
3,14,test,0.691710,0.581276,0.619804,0.654693,0.522664,0.642028
3,14,ood,0.562579,0.637893,0.485433,0.492092,0.906467,0.907808
3,15,test,0.659012,0.634507,0.607193,0.598361,0.675301,0.651778
3,15,ood,0.896099,0.822612,0.826267,0.840286,0.805667,0.615353
3,16,test,0.670744,0.658734,0.624942,0.609277,0.716929,0.645811
3,16,ood,0.420144,0.612532,0.476867,0.486394,0.827000,0.833951
3,17,test,0.693691,0.628949,0.632415,0.641346,0.617021,0.627807
3,17,ood,0.512436,0.643006,0.493367,0.496392,0.912533,0.872532
3,18,test,0.689641,0.661221,0.631948,0.617671,0.711378,0.638625
3,18,ood,0.478469,0.666667,0.500000,0.500000,1.000000,1.178251
3,19,test,0.662389,0.571716,0.602522,0.626932,0.525439,0.652063
3,19,ood,0.301333,0.595188,0.458200,0.475072,0.796600,0.998679
3,2,test,0.691429,0.620388,0.634750,0.652707,0.591119,0.632483
3,2,ood,0.550764,0.666681,0.500033,0.500017,1.000000,1.168548
3,20,test,0.686928,0.612536,0.618870,0.629268,0.596670,0.638008
3,20,ood,0.700640,0.666667,0.500000,0.500000,1.000000,1.690852
3,3,test,0.700998,0.570231,0.617001,0.657799,0.503238,0.629770
3,3,ood,0.734507,0.666667,0.500000,0.500000,1.000000,1.457424
3,4,test,0.694038,0.689683,0.634750,0.603892,0.803885,0.635445
3,4,ood,0.376189,0.657443,0.493267,0.496562,0.972533,1.084490
3,5,test,0.673553,0.598659,0.608594,0.620655,0.578168,0.643614
3,5,ood,0.652628,0.668884,0.505500,0.502768,0.998933,1.118563
3,6,test,0.681140,0.649715,0.626810,0.617500,0.685476,0.641019
3,6,ood,0.812404,0.665372,0.500200,0.500101,0.993800,0.748501
3,7,test,0.645335,0.653924,0.602522,0.583454,0.743756,0.656782
3,7,ood,0.613853,0.654226,0.516400,0.509125,0.915000,0.719014
3,8,test,0.670568,0.640036,0.621205,0.615188,0.666975,0.655075
3,8,ood,0.874054,0.666667,0.500000,0.500000,1.000000,0.793747
3,9,test,0.683606,0.660128,0.627744,0.612342,0.716004,0.634991
3,9,ood,0.762840,0.656442,0.493000,0.496413,0.968733,0.812369
4,1,test,0.658936,0.641509,0.607090,0.597990,0.691860,0.648032
4,1,ood,0.560503,0.665569,0.498767,0.499383,0.997533,0.794233
4,10,test,0.679289,0.675181,0.624323,0.602126,0.768411,0.642990
4,10,ood,0.690437,0.668539,0.504200,0.502109,1.000000,1.779559
4,11,test,0.628196,0.637516,0.591827,0.580876,0.706395,0.665974
4,11,ood,0.629547,0.629932,0.471000,0.484400,0.900467,0.743222
4,12,test,0.639432,0.600779,0.596258,0.603718,0.597868,0.662834
4,12,ood,0.841938,0.833092,0.811967,0.748949,0.938533,0.581355
4,13,test,0.664162,0.611845,0.609552,0.618200,0.605620,0.653877
4,13,ood,0.808510,0.831573,0.811867,0.752728,0.928867,0.606309
4,14,test,0.657974,0.644847,0.604628,0.593165,0.706395,0.655143
4,14,ood,0.784158,0.806106,0.792100,0.755228,0.864333,0.600838
