Model,Test Set,Threshold,Auto_Threshold,Accuracy_Mean,Accuracy_Std,Accuracy_Range,Precision_Mean,Precision_Std,Precision_Range,Recall_Mean,Recall_Std,Recall_Range,F1_Mean,F1_Std,F1_Range,F2_Mean,F2_Std,F2_Range,FalseNegatives_Mean,FalseNegatives_Std,FalsePositives_Mean,FalsePositives_Std
C,C,7.4863955e-09,True,0.9999464467412842,0.0,0.0,1.0,0.0,0.0,0.9999464467412842,0.0,0.0,0.9999732226536351,1.1102230246251565e-16,0.0,0.9999571569341501,1.1102230246251565e-16,0.0,1.0,0.0,0.0,0.0
C,PYTHON,7.793444e-09,True,0.9996379435191891,1.1102230246251565e-16,0.0,1.0,0.0,0.0,0.9996379435191891,1.1102230246251565e-16,0.0,0.9998189389824372,1.1102230246251565e-16,0.0,0.9997103338402491,0.0,0.0,1.0,0.0,0.0,0.0
COMBINED,C,1.3054811e-10,True,0.9999464467412842,0.0,0.0,1.0,0.0,0.0,0.9999464467412842,0.0,0.0,0.9999732226536351,1.1102230246251565e-16,0.0,0.9999571569341501,1.1102230246251565e-16,0.0,1.0,0.0,0.0,0.0
COMBINED,PYTHON,1.3152761e-10,True,0.9996379435191891,1.1102230246251565e-16,0.0,1.0,0.0,0.0,0.9996379435191891,1.1102230246251565e-16,0.0,0.9998189389824372,1.1102230246251565e-16,0.0,0.9997103338402491,0.0,0.0,1.0,0.0,0.0,0.0
CSHARP,C,4.0938817e-09,True,0.9999464467412842,0.0,0.0,1.0,0.0,0.0,0.9999464467412842,0.0,0.0,0.9999732226536351,1.1102230246251565e-16,0.0,0.9999571569341501,1.1102230246251565e-16,0.0,1.0,0.0,0.0,0.0
CSHARP,PYTHON,4.117531e-09,True,0.9996379435191891,1.1102230246251565e-16,0.0,1.0,0.0,0.0,0.9996379435191891,1.1102230246251565e-16,0.0,0.9998189389824372,1.1102230246251565e-16,0.0,0.9997103338402491,0.0,0.0,1.0,0.0,0.0,0.0
JAVA,C,1.976416e-09,True,0.9999464467412842,0.0,0.0,1.0,0.0,0.0,0.9999464467412842,0.0,0.0,0.9999732226536351,1.1102230246251565e-16,0.0,0.9999571569341501,1.1102230246251565e-16,0.0,1.0,0.0,0.0,0.0
JAVA,PYTHON,1.9836446e-09,True,0.9996379435191891,1.1102230246251565e-16,0.0,1.0,0.0,0.0,0.9996379435191891,1.1102230246251565e-16,0.0,0.9998189389824372,1.1102230246251565e-16,0.0,0.9997103338402491,0.0,0.0,1.0,0.0,0.0,0.0
