k,seed,split,auroc,f1,accuracy,precision,recall,loss
1,1,ood,0.49193721744612384,0.6081302906434066,0.49715017346770196,0.4981806676158836,0.7803568478440442,3.137870455975183
1,1,test,0.9990938470042947,0.9975103734439834,0.9972489683631361,0.9983388704318937,0.9966832504145937,0.01782092125303398
1,2,ood,0.5153264022583267,0.3576900092356169,0.5116884189658021,0.5224567528963656,0.2719312737485544,4.712599657761373
1,2,test,0.9998817876429816,0.9983402489626556,0.9981659789087575,0.9991694352159468,0.9975124378109452,0.016715414553915165
1,3,ood,0.4891738259013823,0.6263813205881458,0.49310259375516274,0.49597454562985105,0.8498265322980341,4.642786346957865
1,3,test,0.9989088744312625,0.9991708126036484,0.9990829894543787,0.9991708126036484,0.9991708126036484,0.011037418508716444
1,4,ood,0.49739730213392036,0.6381801962533452,0.4974392863043119,0.4985597472588738,0.8864199570460929,3.1823264916730083
1,4,test,0.9994820767955096,0.9983416252072969,0.9981659789087575,0.9983416252072969,0.9983416252072969,0.016637933121708793
1,5,ood,0.5091793376798902,0.5515556891627837,0.5071039154138444,0.505928581276713,0.6062283165372543,2.9652451420869665
1,5,test,0.9996798060977166,0.998756734355574,0.9986244841815681,0.9983429991714996,0.9991708126036484,0.012950240312418999
1,6,ood,0.5018016824728118,0.3024003675203859,0.4982653229803403,0.49604370761115296,0.21749545679828183,3.7445931704936344
1,6,test,0.999845218352681,0.9979278905926233,0.9977074736359468,0.9975144987572494,0.9983416252072969,0.01632651388452992
1,7,ood,0.5034236443111456,0.621773288439955,0.49892615232116305,0.49934902353530297,0.8237237733355361,2.470895500772459
1,7,test,0.999359612195433,0.9975165562913907,0.9972489683631361,0.9958677685950413,0.9991708126036484,0.012249860400924514
1,8,ood,0.5001927737334475,0.6359249329758713,0.4952089872790352,0.4972978009690645,0.8817115479927309,3.565117026109905
1,8,test,0.9991108559765276,0.9983416252072969,0.9981659789087575,0.9983416252072969,0.9983416252072969,0.01371291111915881
1,9,ood,0.4993352881639794,0.4965230064542994,0.5006195275070213,0.5006297757998153,0.4924830662481414,2.1142437358828485
1,9,test,0.9998375643151763,0.9979261717129821,0.9977074736359468,0.9983402489626556,0.9975124378109452,0.014012353024310763
1,10,ood,0.4806574635108909,0.6359097850346529,0.4879398645299851,0.4933473070263374,0.8943499091359657,4.431035585875473
1,10,test,0.9998154526512736,0.998756734355574,0.9986244841815681,0.9983429991714996,0.9991708126036484,0.01500516717344684
1,11,ood,0.47959945968767703,0.6290113988390629,0.49054188005947463,0.49458449605070237,0.8637865521229142,2.938695007455357
1,11,test,0.9991066037334695,0.9991708126036484,0.9990829894543787,0.9991708126036484,0.9991708126036484,0.008556250422480989
1,12,ood,0.5022374089725461,0.4308714780492371,0.4977697009747233,0.4970842332613391,0.3802246819758797,4.16465420019044
1,12,test,0.9994948335246842,0.9983402489626556,0.9981659789087575,0.9991694352159468,0.9975124378109452,0.013929020666909231
